SYMBOL,change_07022026,change_07022026_x,change_07022026_y,change_10022026,change_07022026_x.1,change_07022026_y.2,change_09022026_x,change_07022026_y.1,change_27012026_x,change_27012026_y
ABB,-1.2827252654820733,-1.282725265482073,-1.282725265482073,-1.282725265482073,-1.282725265482073,-1.282725265482073,-1.282725265482073,-1.282725265482073,-1.282725265482073,-1.282725265482073
ABBOTINDIA,0.19837691614066727,0.1983769161406672,0.1983769161406672,0.1983769161406672,0.1983769161406672,0.1983769161406672,0.1983769161406672,0.1983769161406672,0.1983769161406672,0.1983769161406672
ABCAPITAL,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592,-1.9887165021156592
ABCOTS,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998,0.1961745953898998
ABDL,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824,0.7182940516273824
ABFRL,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881,-3.21871565394881
ABGSEC,-0.23368685960812968,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296,-0.2336868596081296
ABINFRA,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325,-3.487124463519325
ABLBL,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703,-2.798122065727703
ABMINTLLTD,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497,0.2527379949452497
ABREL,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148,-4.264487369985148
ABSLAMC,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335,0.8072328059412335
ABSLBANETF,-1.0749131800892981,-1.074913180089298,-1.074913180089298,-1.074913180089298,-1.074913180089298,-1.074913180089298,-1.074913180089298,-1.074913180089298,-1.074913180089298,-1.074913180089298
ABSLLIQUID,0.0010000100000990915,0.001000010000099,0.001000010000099,0.001000010000099,0.001000010000099,0.001000010000099,0.001000010000099,0.001000010000099,0.001000010000099,0.001000010000099
ABSLNN50ET,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408,-1.727555933163408
ABSLPSE,-0.9970089730807543,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544,-0.9970089730807544
ACC,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617,-3.4197430852910617
ACCELYA,-1.3913824057450561,-1.391382405745056,-1.391382405745056,-1.391382405745056,-1.391382405745056,-1.391382405745056,-1.391382405745056,-1.391382405745056,-1.391382405745056,-1.391382405745056
ACCURACY,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696,2.263374485596696
ACE,-1.9332052791374958,-1.933205279137496,-1.933205279137496,-1.933205279137496,-1.933205279137496,-1.933205279137496,-1.933205279137496,-1.933205279137496,-1.933205279137496,-1.933205279137496
ACEINTEG,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126,-2.9663147310206126
ACI,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392,0.8115254855475392
ACL,-3.8499025341130677,-3.849902534113068,-3.849902534113068,-3.849902534113068,-3.849902534113068,-3.849902534113068,-3.849902534113068,-3.849902534113068,-3.849902534113068,-3.849902534113068
ACMESOLAR,-3.7678355501813745,-3.7678355501813754,-3.767835550181376,-3.767835550181376,-3.767835550181376,-3.767835550181376,-3.767835550181376,-3.767835550181376,-3.767835550181376,-3.767835550181376
ACUTAAS,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328,0.5473120895159328
ADANIENSOL,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534,-12.121539792387534
ADANIENT,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438,-10.649923312883438
ADANIGREEN,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584,-14.5416344133584
ADANIPORTS,-7.4812614905953865,-7.481261490595386,-7.481261490595386,-7.481261490595386,-7.481261490595386,-7.481261490595386,-7.481261490595386,-7.481261490595386,-7.481261490595386,-7.481261490595386
ADANIPOWER,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923,-5.648594947487923
ADFFOODS,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913,-3.9081210537774913
ADL,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059,-2.494298745724059
ADOR,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727,-2.8590812172901727
ADROITINFO,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634,-2.5227043390514634
ADSL,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647,-3.0528186076562647
ADVAIT,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141,-3.308438612410141
ADVANCE,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981,-4.100380909701981
ADVANIHOTR,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826,3.4115493426526826
ADVENTHTL,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591,-8.275070437232591
ADVENZYMES,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382,-1.3053870196727382
AEGISLOG,-1.0707776427703455,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457,-1.0707776427703457
AEGISVOPAK,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514,-2.039822793437514
